CLIP.UID,CLIP.Type,Gene.ID,Species,Gene.Name,Genome,Cell.type,Folding.temp,5p.flank.len,3p.flank.len
ELAVL1_HEK293_PARCLIP,PAR-CLIP,ENSG00000066044,Homo_sapiens,ELAVL1,hg19,HEK293,37,50,50
NOVA2_MN_HITSCLIP,HITS-CLIP,ENSMUSG00000030411,Mus_musculus,Nova2,mm9,MN,37,50,50
NOVA2_WSC_HITSCLIP,HITS-CLIP,ENSMUSG00000030411,Mus_musculus,Nova2,mm9,WSC,37,50,50
RC3H1_PARCLIP,PAR-CLIP,ENSG00000135870,Homo_sapiens,RC3H1,hg18,HEK293,37,50,50
ENCFF907HNN,eCLIP,ENSG00000011304,Homo_sapiens,PTBP1,hg38,K562,37,50,50
ENCFF880MWQ,eCLIP,ENSG00000055917,Homo_sapiens,PUM2,hg38,K562,37,50,50
ENCFF440ROZ,eCLIP,ENSG00000092199,Homo_sapiens,HNRNPC,hg38,HepG2,37,50,50
ENCFF266TKW,eCLIP,ENSG00000104824,Homo_sapiens,HNRNPL,hg38,HepG2,37,50,50
ENCFF797GSK,eCLIP,ENSG00000135486,Homo_sapiens,HNRNPA1,hg38,HepG2,37,50,50
ENCFF871NYM,eCLIP,ENSG00000277564,Homo_sapiens,RBFOX2,hg38,HepG2,37,50,50
ENCFF917CBK,eCLIP,ENSG00000104824,Homo_sapiens,HNRNPL,hg38,K562,37,50,50
ENCFF392AEV,eCLIP,ENSG00000135486,Homo_sapiens,HNRNPA1,hg38,K562,37,50,50
ENCFF886XUO,eCLIP,ENSG00000136450,Homo_sapiens,SRSF1,hg38,K562,37,50,50
ENCFF341XMP,eCLIP,ENSG00000187772,Homo_sapiens,LIN28B,hg38,HepG2,37,50,50
ENCFF704OCI,eCLIP,ENSG00000112531,Homo_sapiens,QKI,hg38,HepG2,37,50,50
ENCFF934ANS,eCLIP,ENSG00000136450,Homo_sapiens,SRSF1,hg38,HepG2,37,50,50
ENCFF786UOW,eCLIP,ENSG00000112531,Homo_sapiens,QKI,hg38,K562,37,50,50
ENCFF061XNA,eCLIP,ENSG00000187772,Homo_sapiens,LIN28B,hg38,K562,37,50,50
ENCFF623WGE,eCLIP,ENSG00000163950,Homo_sapiens,SLBP,hg38,K562,37,50,50
ENCFF206RIM,eCLIP,ENSG00000277564,Homo_sapiens,RBFOX2,hg38,K562,37,50,50
ENCFF726SQU,eCLIP,ENSG00000011304,Homo_sapiens,PTBP1,hg38,HepG2,37,50,50
ENCFF900IOH,eCLIP,ENSG00000169564,Homo_sapiens,PCBP1,hg38,K562,37,50,50
ENCFF167CDB,eCLIP,ENSG00000092199,Homo_sapiens,HNRNPC,hg38,K562,37,50,50
ENCFF098REE,eCLIP,ENSG00000169564,Homo_sapiens,PCBP1,hg38,HepG2,37,50,50
Mbnl1_CLIP_GSM981227_129Brain_clusters,CLIP,ENSMUSG00000027763,Mus_musculus,Mbnl1,mm9,whole_brain,37,50,50
Mbnl1_CLIP_GSM981230_C2C12_clusters,CLIP,ENSMUSG00000027763,Mus_musculus,Mbnl1,mm9,C2C12,37,50,50
