A	0.000857	0.096115	0.000436	0.036301	0.021672
B	0.000004	0.000004	0.000004	0.000004	0.012557
C	0.059284	0.039962	0.073784	0.130302	0.100415
D	0.011941	0.048234	0.002953	0.026905	0.047004
E	0.395351	0.055570	0.570843	0.584897	0.352352
F	0.000965	0.000002	0.000002	0.000002	0.009989
G	0.059079	0.124593	0.118902	0.000000	0.057792
H	0.097504	0.072798	0.015338	0.000280	0.041598
I	0.006572	0.064797	0.000256	0.001200	0.024213
J	0.003316	0.000001	0.000001	0.000001	0.023802
K	0.124731	0.056398	0.102766	0.090695	0.061784
L	0.120099	0.105986	0.106400	0.075477	0.095591
M	0.053737	0.192970	0.003443	0.012538	0.069859
N	0.000299	0.000003	0.000003	0.000003	0.012214
O	0.040643	0.108406	0.000828	0.040926	0.037585
P	0.025618	0.034159	0.004040	0.000467	0.031573
