A	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
B	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
C	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
D	0.202118	0.563979	0.094874	0.096733	0.505423	0.480540
E	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
F	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
G	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
H	0.092399	0.052988	0.076278	0.061516	0.088000	0.080181
I	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
J	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
K	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
L	0.215252	0.309579	0.296484	0.210460	0.179746	0.257431
M	0.006207	0.000004	0.000004	0.000004	0.000004	0.000004
N	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
O	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
P	0.483997	0.073421	0.532332	0.631259	0.226800	0.181816
