A	0.005390	0.000002	0.000271	0.071880
B	0.000005	0.000005	0.000005	0.000005
C	0.000010	0.000010	0.000010	0.000010
D	0.000188	0.000448	0.000181	0.020779
E	0.000005	0.000005	0.000005	0.002219
F	0.000004	0.000004	0.000004	0.000004
G	0.000360	0.000014	0.000014	0.007737
H	0.030199	0.005848	0.013988	0.277306
I	0.000004	0.000004	0.000004	0.000004
J	0.000005	0.000005	0.000005	0.003138
K	0.912741	0.225113	0.185849	0.125900
L	0.000002	0.000002	0.000002	0.035599
M	0.000009	0.000009	0.000009	0.000009
N	0.003653	0.000007	0.000007	0.061650
O	0.000001	0.000001	0.030705	0.117910
P	0.000005	0.000005	0.000005	0.000005
Q	0.000007	0.000007	0.000007	0.000007
R	0.000016	0.588709	0.014394	0.069700
S	0.000003	0.000003	0.000003	0.000003
T	0.000012	0.000012	0.000012	0.000012
U	0.000208	0.006182	0.000010	0.126815
V	0.000039	0.000001	0.039061	0.061568
W	0.000004	0.000004	0.000004	0.000004
X	0.000007	0.000007	0.000007	0.000007
Y	0.042333	0.173573	0.715419	0.012650
Z	0.000003	0.000003	0.000003	0.001322
a	0.000010	0.000010	0.000010	0.000010
b	0.004780	0.000008	0.000008	0.003749
