A	0.000026	0.000026	0.000026	0.000026	0.049084
B	0.000021	0.633130	0.139945	0.000021	0.678731
C	0.000009	0.000009	0.000009	0.000009	0.000009
D	0.000026	0.000026	0.000026	0.000026	0.000026
E	0.000035	0.000035	0.000035	0.000035	0.000035
F	0.999758	0.320130	0.049281	0.999758	0.141756
G	0.000005	0.000005	0.000005	0.000005	0.000005
H	0.000013	0.000013	0.000013	0.000013	0.000013
I	0.000031	0.000031	0.000031	0.000031	0.000031
J	0.000006	0.000006	0.523457	0.000006	0.000006
K	0.000002	0.000002	0.000002	0.000002	0.000002
L	0.000006	0.000006	0.000006	0.000006	0.000006
M	0.000031	0.000031	0.000031	0.000031	0.000031
N	0.000012	0.046532	0.287116	0.000012	0.130247
O	0.000005	0.000005	0.000005	0.000005	0.000005
P	0.000013	0.000013	0.000013	0.000013	0.000013
