A	0.152484	0.165661	0.196362	0.217716	0.067652	0.104796
B	0.000003	0.000003	0.000003	0.000003	0.000003	0.819695
C	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
D	0.034516	0.000003	0.000003	0.000003	0.000003	0.000003
E	0.175353	0.209801	0.233789	0.348630	0.727620	0.000002
F	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
G	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
H	0.040994	0.000003	0.000003	0.000003	0.000003	0.000003
I	0.383737	0.418365	0.409755	0.301164	0.081489	0.000003
J	0.000001	0.000001	0.000001	0.000001	0.000001	0.074797
K	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
L	0.017761	0.000001	0.000001	0.000001	0.000001	0.000001
M	0.171271	0.206154	0.160075	0.132471	0.123220	0.000002
N	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
O	0.000000	0.000000	0.000000	0.000000	0.000000	0.000691
P	0.023874	0.000002	0.000002	0.000002	0.000002	0.000002
