A	0.000006	0.000006	0.000006	0.000006	0.999902	0.000040
B	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
C	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
D	0.000012	0.000108	0.999417	0.000018	0.000010	0.000010
E	0.000232	0.000014	0.000014	0.000015	0.000014	0.009457
F	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
G	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
H	0.000009	0.000732	0.000274	0.000005	0.000005	0.000005
I	0.007612	0.000013	0.000013	0.000629	0.000013	0.990412
J	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
K	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
L	0.991779	0.000310	0.000159	0.000206	0.000008	0.000008
M	0.000014	0.000014	0.000014	0.366253	0.000014	0.000035
N	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
O	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
P	0.000309	0.998775	0.000075	0.632841	0.000007	0.000007
