A	0.000002	0.000002	0.000002	0.000002
B	0.000002	0.000002	0.000002	0.000002
C	0.000010	0.000010	0.212545	0.371517
D	0.000005	0.000005	0.000005	0.000005
E	0.000000	0.000000	0.000000	0.000000
F	0.000005	0.000005	0.000005	0.035716
G	0.000007	0.000007	0.000007	0.000007
H	0.000001	0.000001	0.000001	0.000001
I	0.000001	0.000001	0.000001	0.000001
J	0.999897	0.999897	0.280486	0.210512
K	0.000006	0.000006	0.000006	0.000006
L	0.000000	0.000000	0.000000	0.000000
M	0.000008	0.000008	0.000008	0.029817
N	0.000004	0.000004	0.000004	0.000004
O	0.000000	0.000000	0.000000	0.000000
P	0.000001	0.000001	0.000001	0.000001
Q	0.000004	0.000004	0.094809	0.060856
R	0.000004	0.000004	0.000004	0.000004
S	0.000000	0.000000	0.000000	0.000000
T	0.000010	0.000010	0.000010	0.072333
U	0.000002	0.000002	0.000002	0.000002
V	0.000001	0.000001	0.000001	0.000001
W	0.000002	0.000002	0.000002	0.000002
X	0.000008	0.000008	0.412079	0.191704
Y	0.000005	0.000005	0.000005	0.000005
Z	0.000000	0.000000	0.000000	0.000000
a	0.000009	0.000009	0.000009	0.027495
b	0.000005	0.000005	0.000005	0.000005
