A	0.000001	0.000001	0.000001	0.000001
B	0.001226	0.000004	0.000004	0.000004
C	0.241881	0.241954	0.006410	0.973739
D	0.209784	0.016996	0.000025	0.000007
E	0.000002	0.000002	0.000002	0.000002
F	0.000004	0.000004	0.000004	0.000004
G	0.002943	0.000009	0.000009	0.000009
H	0.001223	0.000001	0.000001	0.000001
I	0.000003	0.000003	0.000003	0.000003
J	0.019283	0.099324	0.984780	0.000019
K	0.045197	0.333757	0.005578	0.000012
L	0.001224	0.000001	0.000001	0.000001
M	0.000009	0.000009	0.000009	0.000009
N	0.000004	0.000004	0.000004	0.000004
O	0.000001	0.000001	0.000001	0.000001
P	0.001229	0.000006	0.000006	0.000006
Q	0.202510	0.024803	0.002241	0.008031
R	0.249463	0.008210	0.000145	0.000015
S	0.000003	0.000003	0.000003	0.000003
T	0.000015	0.000015	0.000015	0.000015
U	0.000822	0.000013	0.000013	0.000013
V	0.000001	0.000001	0.000001	0.000001
W	0.000004	0.000004	0.000004	0.000004
X	0.003852	0.221675	0.000009	0.018065
Y	0.019294	0.053179	0.000711	0.000010
Z	0.000002	0.000002	0.000002	0.000002
a	0.000012	0.000012	0.000012	0.000012
b	0.000007	0.000007	0.000007	0.000007
