A	0.000757	0.000757	0.000757	0.000757	0.000757	0.000757
B	0.002017	0.002017	0.002017	0.002017	0.002017	0.002017
C	0.003684	0.003684	0.003684	0.003684	0.003684	0.003684
D	0.913383	0.004292	0.004292	0.913383	0.004292	0.004292
E	0.002017	0.002017	0.002017	0.002017	0.002017	0.002017
F	0.001924	0.001924	0.001924	0.001924	0.001924	0.001924
G	0.005418	0.005418	0.005418	0.005418	0.005418	0.005418
H	0.000313	0.000313	0.000313	0.000313	0.000313	0.000313
I	0.001497	0.001497	0.001497	0.001497	0.001497	0.001497
J	0.002069	0.002069	0.002069	0.002069	0.002069	0.002069
K	0.007889	0.007889	0.916980	0.007889	0.916980	0.916980
L	0.001040	0.001040	0.001040	0.001040	0.001040	0.001040
M	0.004230	0.004230	0.004230	0.004230	0.004230	0.004230
N	0.002526	0.002526	0.002526	0.002526	0.002526	0.002526
O	0.000478	0.000478	0.000478	0.000478	0.000478	0.000478
P	0.002552	0.002552	0.002552	0.002552	0.002552	0.002552
Q	0.003473	0.003473	0.003473	0.003473	0.003473	0.003473
R	0.007117	0.007117	0.007117	0.007117	0.007117	0.007117
S	0.001514	0.001514	0.001514	0.001514	0.001514	0.001514
T	0.005996	0.005996	0.005996	0.005996	0.005996	0.005996
U	0.005495	0.005495	0.005495	0.005495	0.005495	0.005495
V	0.000629	0.000629	0.000629	0.000629	0.000629	0.000629
W	0.002224	0.002224	0.002224	0.002224	0.002224	0.002224
X	0.003522	0.003522	0.003522	0.003522	0.003522	0.003522
Y	0.007182	0.916273	0.007182	0.007182	0.007182	0.007182
Z	0.001669	0.001669	0.001669	0.001669	0.001669	0.001669
a	0.005186	0.005186	0.005186	0.005186	0.005186	0.005186
b	0.004200	0.004200	0.004200	0.004200	0.004200	0.004200
