A	0.024655	0.360648	0.000002	0.136382
B	0.000004	0.000004	0.000004	0.000004
C	0.000000	0.000000	0.000000	0.000000
D	0.000004	0.567490	0.000004	0.000004
E	0.189910	0.009199	0.000003	0.086328
F	0.000005	0.000005	0.000005	0.000005
G	0.000000	0.000000	0.000000	0.000000
H	0.000005	0.000005	0.000005	0.175649
I	0.306229	0.000004	0.353410	0.000004
J	0.000002	0.000002	0.000002	0.000002
K	0.000000	0.000000	0.000000	0.000000
L	0.085124	0.000001	0.533714	0.000001
M	0.173603	0.032481	0.077399	0.459883
N	0.000002	0.000002	0.000002	0.000002
O	0.000000	0.000000	0.000000	0.000000
P	0.220458	0.030159	0.035450	0.141736
