A	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
B	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
C	0.004548	0.000005	0.855449	0.000005	0.000005	0.000005
D	0.518058	0.000004	0.000004	0.000004	0.000004	0.000004
E	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
F	0.000002	0.000002	0.000002	0.000002	0.000002	0.455011
G	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006
H	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
I	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
J	0.000002	0.298125	0.000002	0.000002	0.000002	0.000002
K	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
L	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
M	0.000004	0.000004	0.000004	0.000004	0.480055	0.056815
N	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
O	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
P	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
Q	0.000004	0.000004	0.144468	0.000004	0.000004	0.000004
R	0.476102	0.000006	0.000006	0.000006	0.000006	0.000006
S	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
T	0.000006	0.000006	0.000006	0.000006	0.000006	0.488094
U	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006
V	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
W	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
X	0.001220	0.701789	0.000005	0.999912	0.000005	0.000005
Y	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
Z	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
a	0.000005	0.000005	0.000005	0.000005	0.519861	0.000005
b	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
