A	0.000005	0.000005	0.000005	0.000005	0.000005	0.001301
B	0.000004	0.000004	0.999910	0.399658	0.000004	0.202824
C	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
D	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008
E	0.000011	0.000011	0.000011	0.000011	0.000011	0.013322
F	0.000002	0.999908	0.000002	0.301255	0.000002	0.166695
G	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
H	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
I	0.000014	0.000014	0.000014	0.000014	0.000014	0.051873
J	0.000005	0.000005	0.000005	0.218313	0.999912	0.396747
K	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
L	0.000011	0.000011	0.000011	0.000011	0.000011	0.000011
M	0.000011	0.000011	0.000011	0.000011	0.000011	0.004350
N	0.999909	0.000003	0.000003	0.080695	0.000003	0.162850
O	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
P	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
