A	0.002475	0.000006	0.000006	0.000006	0.014563
B	0.022760	0.036857	0.092475	0.002443	0.161331
C	0.000001	0.000001	0.000001	0.000001	0.000001
D	0.000006	0.000006	0.000006	0.000006	0.000006
E	0.005014	0.000010	0.000010	0.000010	0.018194
F	0.682749	0.732413	0.055295	0.672385	0.276381
G	0.000001	0.000001	0.000001	0.000001	0.000001
H	0.000004	0.000004	0.000004	0.000004	0.000004
I	0.005044	0.000010	0.000010	0.000010	0.011279
J	0.109288	0.116400	0.544988	0.031177	0.036722
K	0.000001	0.000001	0.000001	0.000001	0.000001
L	0.000002	0.000002	0.000002	0.000002	0.000002
M	0.005451	0.000009	0.000009	0.000009	0.021847
N	0.167200	0.114275	0.307185	0.293939	0.459664
O	0.000001	0.000001	0.000001	0.000001	0.000001
P	0.000004	0.000004	0.000004	0.000004	0.000004
