A	0.007218	0.009947	0.030727	0.028738	0.021976
B	0.000872	0.000399	0.000004	0.000004	0.002326
C	0.005258	0.002787	0.000000	0.000000	0.005138
D	0.013863	0.022409	0.024045	0.010792	0.022776
E	0.830865	0.014225	0.078141	0.669270	0.603650
F	0.000483	0.000590	0.000002	0.000002	0.001513
G	0.003991	0.001083	0.000867	0.000434	0.001784
H	0.022502	0.021845	0.018996	0.009399	0.023491
I	0.010374	0.026657	0.203202	0.175602	0.019016
J	0.002354	0.000709	0.000004	0.000004	0.008512
K	0.006147	0.001480	0.002347	0.000000	0.013892
L	0.035770	0.037201	0.042072	0.044437	0.029052
M	0.048099	0.833031	0.567596	0.052631	0.215524
N	0.003782	0.000349	0.000006	0.000006	0.004451
O	0.001688	0.004537	0.000001	0.000180	0.004228
P	0.006734	0.022749	0.031992	0.008500	0.022670
