A	0.023595	0.000001	0.000001	0.028460
B	0.000001	0.000001	0.000001	0.013597
C	0.000003	0.000003	0.000003	0.000003
D	0.000003	0.000003	0.000003	0.000003
E	0.000001	0.000001	0.000001	0.000001
F	0.000001	0.000001	0.000001	0.000001
G	0.036388	0.000004	0.000004	0.043357
H	0.001095	0.000000	0.000000	0.011346
I	0.000001	0.000001	0.000001	0.001702
J	0.001469	0.000001	0.000001	0.000001
K	0.000005	0.000005	0.000005	0.000005
L	0.000001	0.000001	0.000001	0.000001
M	0.269802	0.000003	0.335274	0.532332
N	0.337416	0.000002	0.000002	0.004248
O	0.021557	0.000000	0.000000	0.035561
P	0.000002	0.000002	0.000002	0.007923
Q	0.045116	0.000003	0.000003	0.000003
R	0.000005	0.000005	0.000005	0.000005
S	0.004218	0.000001	0.000001	0.018464
T	0.000005	0.852485	0.000005	0.060184
U	0.115711	0.147460	0.000004	0.168164
V	0.014900	0.000000	0.000000	0.000000
W	0.000001	0.000001	0.000001	0.010986
X	0.000003	0.000003	0.000003	0.000003
Y	0.000005	0.000005	0.000005	0.000005
Z	0.000001	0.000001	0.000001	0.000001
a	0.032912	0.000005	0.664670	0.050625
b	0.095784	0.000003	0.000003	0.013018
