A	0.000011	0.000011	0.000011	0.000011	0.000011	0.000011
B	0.999832	0.000009	0.999832	0.999832	0.000009	0.999832
C	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
D	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015
E	0.000022	0.000022	0.000022	0.000022	0.000022	0.000022
F	0.000005	0.216538	0.000005	0.000005	0.000005	0.000005
G	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
H	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
I	0.000026	0.000026	0.000026	0.000026	0.000026	0.000026
J	0.000011	0.288377	0.000011	0.000011	0.741999	0.000011
K	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
L	0.000018	0.000018	0.000018	0.000018	0.000018	0.000018
M	0.000022	0.000022	0.000022	0.000022	0.000022	0.000022
N	0.000008	0.494932	0.000008	0.000008	0.257844	0.000008
O	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
P	0.000011	0.000011	0.000011	0.000011	0.000011	0.000011
