A	0.000010	0.000010	0.000010	0.454119
B	0.000005	0.000005	0.000005	0.295543
C	0.000005	0.000005	0.000005	0.000005
D	0.000014	0.000014	0.000014	0.000014
E	0.000022	0.000022	0.000022	0.002593
F	0.999841	0.999841	0.999841	0.022161
G	0.000004	0.000004	0.000004	0.000004
H	0.000008	0.000008	0.000008	0.000008
I	0.000021	0.000021	0.000021	0.197742
J	0.000005	0.000005	0.000005	0.022576
K	0.000005	0.000005	0.000005	0.000005
L	0.000011	0.000011	0.000011	0.000011
M	0.000023	0.000023	0.000023	0.003297
N	0.000006	0.000006	0.000006	0.001903
O	0.000006	0.000006	0.000006	0.000006
P	0.000013	0.000013	0.000013	0.000013
