A	0.000136	0.000001	0.000001	0.000001	0.000039	0.000018
B	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
C	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
D	0.000309	0.003766	0.057464	0.104953	0.001764	0.000001
E	0.006060	0.000002	0.000108	0.000274	0.000182	0.000008
F	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
H	0.033499	0.000035	0.002376	0.004870	0.003575	0.000275
I	0.005876	0.000154	0.000093	0.000002	0.003000	0.011711
J	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
K	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
L	0.944424	0.991043	0.005223	0.872637	0.989768	0.944343
M	0.002967	0.000837	0.000002	0.000002	0.000287	0.031338
N	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
O	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
P	0.006725	0.004159	0.934731	0.017258	0.001382	0.012302
