A	0.000787	0.000787	0.000787	0.000787
B	0.001901	0.001901	0.910992	0.910992
C	0.004423	0.004423	0.004423	0.004423
D	0.004014	0.004014	0.004014	0.004014
E	0.001639	0.001639	0.001639	0.001639
F	0.001897	0.001897	0.001897	0.001897
G	0.005986	0.005986	0.005986	0.005986
H	0.000275	0.000275	0.000275	0.000275
I	0.001123	0.001123	0.001123	0.001123
J	0.002125	0.002125	0.002125	0.002125
K	0.007238	0.007238	0.007238	0.007238
L	0.000680	0.000680	0.000680	0.000680
M	0.003307	0.003307	0.003307	0.003307
N	0.002414	0.002414	0.002414	0.002414
O	0.000504	0.000504	0.000504	0.000504
P	0.002372	0.002372	0.002372	0.002372
Q	0.004259	0.004259	0.004259	0.004259
R	0.006501	0.006501	0.006501	0.006501
S	0.001257	0.001257	0.001257	0.001257
T	0.006091	0.006091	0.006091	0.006091
U	0.006122	0.006122	0.006122	0.006122
V	0.000654	0.000654	0.000654	0.000654
W	0.911171	0.911171	0.002080	0.002080
X	0.004306	0.004306	0.004306	0.004306
Y	0.007328	0.007328	0.007328	0.007328
Z	0.001388	0.001388	0.001388	0.001388
a	0.005555	0.005555	0.005555	0.005555
b	0.004683	0.004683	0.004683	0.004683
