A	0.029386	0.005879	0.011848	0.056345
B	0.000059	0.000059	0.000059	0.000059
C	0.000017	0.000017	0.000017	0.000017
D	0.162723	0.002335	0.025718	0.000109
E	0.004127	0.002360	0.043686	0.008696
F	0.000029	0.000029	0.000029	0.000029
G	0.000010	0.000010	0.000010	0.000010
H	0.003583	0.013130	0.005105	0.000045
I	0.104567	0.049895	0.750933	0.872961
J	0.000051	0.000051	0.000051	0.007216
K	0.000019	0.000019	0.000019	0.000019
L	0.655165	0.899685	0.127369	0.014601
M	0.023221	0.005583	0.018221	0.039775
N	0.000041	0.000041	0.000041	0.000041
O	0.000013	0.000013	0.000013	0.000013
P	0.016988	0.020894	0.016881	0.000063
