A	0.005978	0.000003	0.000003	0.000003	0.000003	0.033603
B	0.097885	0.000007	0.000007	0.000007	0.000007	0.000007
C	0.000015	0.000015	0.000015	0.000015	0.000015	0.002608
D	0.000016	0.000016	0.000016	0.000016	0.000016	0.126117
E	0.305354	0.002148	0.000008	0.000008	0.000008	0.000008
F	0.012970	0.000008	0.000008	0.000008	0.000008	0.000008
G	0.075119	0.000021	0.000021	0.000021	0.002613	0.000021
H	0.005186	0.000001	0.000001	0.000001	0.000001	0.000001
I	0.035107	0.000005	0.000005	0.000005	0.000005	0.000005
J	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008
K	0.417720	0.000028	0.000028	0.806200	0.927066	0.000028
L	0.012966	0.002596	0.000004	0.000004	0.000004	0.000004
M	0.006280	0.000020	0.000020	0.000020	0.000020	0.000020
N	0.000009	0.000009	0.000009	0.000009	0.000009	0.000009
O	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
P	0.001841	0.000010	0.000010	0.000010	0.000010	0.000010
Q	0.000017	0.000017	0.000017	0.000017	0.000017	0.000017
R	0.000031	0.000031	0.000031	0.000031	0.000031	0.837363
S	0.017610	0.006428	0.000007	0.000007	0.000007	0.000007
T	0.000027	0.000027	0.000027	0.000027	0.000027	0.000027
U	0.000025	0.000025	0.000025	0.002617	0.009040	0.000025
V	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
W	0.002600	0.000008	0.000008	0.000008	0.000008	0.000008
X	0.000016	0.000016	0.000016	0.000016	0.000016	0.000016
Y	0.000026	0.943659	0.999652	0.190888	0.061007	0.000026
Z	0.003145	0.044847	0.000007	0.000007	0.000007	0.000007
a	0.000026	0.000026	0.000026	0.000026	0.000026	0.000026
b	0.000016	0.000016	0.000016	0.000016	0.000016	0.000016
