A	0.000030	0.000030	0.641710	0.000030
B	0.000031	0.000031	0.000031	0.000031
C	0.000004	0.000004	0.000004	0.000004
D	0.038320	0.000044	0.254244	0.000044
E	0.652247	0.001230	0.000052	0.536601
F	0.052638	0.000015	0.000015	0.009974
G	0.000002	0.000002	0.000002	0.000002
H	0.066194	0.007339	0.000013	0.253194
I	0.000058	0.966263	0.103683	0.000058
J	0.000031	0.000031	0.000031	0.000031
K	0.000004	0.000004	0.000004	0.000004
L	0.000034	0.000034	0.000034	0.000034
M	0.122263	0.000087	0.000087	0.180075
N	0.000045	0.000045	0.000045	0.000045
O	0.000005	0.000005	0.000005	0.000005
P	0.068096	0.024837	0.000039	0.019869
