A	0.005506	0.000000	0.008792	0.000000	0.032470
B	0.000001	0.000001	0.000001	0.000001	0.014967
C	0.000002	0.000002	0.000002	0.000002	0.000002
D	0.000002	0.000002	0.000002	0.000002	0.000002
E	0.000001	0.000001	0.000001	0.000001	0.037698
F	0.001925	0.000001	0.114313	0.065924	0.033349
G	0.000003	0.000003	0.000003	0.000003	0.003023
H	0.016474	0.000000	0.000000	0.010742	0.012337
I	0.000001	0.000001	0.000001	0.000001	0.002331
J	0.030768	0.000001	0.000001	0.000001	0.000001
K	0.000004	0.000004	0.000004	0.000004	0.000004
L	0.000000	0.000000	0.000000	0.000000	0.021749
M	0.300931	0.000002	0.389544	0.429077	0.042086
N	0.033051	0.000002	0.000002	0.000002	0.000002
O	0.008298	0.002576	0.000992	0.021350	0.025787
P	0.000001	0.000001	0.000001	0.000001	0.010270
Q	0.007361	0.000003	0.000003	0.000003	0.000003
R	0.000005	0.000005	0.000005	0.000005	0.000005
S	0.000001	0.000001	0.000001	0.026438	0.050525
T	0.000004	0.997374	0.000004	0.158009	0.427660
U	0.000003	0.000003	0.000003	0.000003	0.028470
V	0.000000	0.000000	0.017963	0.025140	0.020101
W	0.000001	0.000001	0.000001	0.000001	0.017190
X	0.013076	0.000002	0.000002	0.000002	0.000002
Y	0.000004	0.000004	0.000004	0.000004	0.000004
Z	0.000001	0.000001	0.000001	0.000001	0.038894
a	0.532317	0.000003	0.468349	0.263278	0.181065
b	0.050255	0.000003	0.000003	0.000003	0.000003
