A	0.000008	0.005093	0.062971	0.729779
B	0.999878	0.000007	0.000007	0.000007
C	0.000002	0.000002	0.000002	0.000002
D	0.000012	0.000012	0.003136	0.028280
E	0.000018	0.001160	0.062956	0.006064
F	0.000004	0.000004	0.000004	0.000004
G	0.000002	0.000002	0.000002	0.000002
H	0.000006	0.000006	0.073997	0.000067
I	0.000016	0.993637	0.021118	0.220531
J	0.000006	0.000006	0.000006	0.000006
K	0.000002	0.000002	0.000002	0.000002
L	0.000010	0.000010	0.412756	0.005291
M	0.000019	0.000041	0.318942	0.009888
N	0.000007	0.000007	0.000007	0.000007
O	0.000002	0.000002	0.000002	0.000002
P	0.000009	0.000009	0.044093	0.000067
