A	0.043898	0.000039	0.000039	0.024755	0.037817
B	0.000043	0.000043	0.000043	0.000043	0.000043
C	0.119013	0.000009	0.000009	0.000009	0.000009
D	0.000038	0.000038	0.000038	0.090694	0.163287
E	0.736818	0.980593	0.000064	0.000064	0.000064
F	0.000030	0.000030	0.000030	0.000030	0.000030
G	0.003280	0.000006	0.000006	0.000006	0.000006
H	0.020426	0.000024	0.000024	0.000024	0.000024
I	0.000066	0.000066	0.000066	0.000066	0.356141
J	0.000017	0.000017	0.000017	0.000017	0.000017
K	0.003835	0.003277	0.000003	0.000003	0.015348
L	0.009524	0.000011	0.000011	0.000011	0.010697
M	0.000057	0.000057	0.999585	0.884213	0.000057
N	0.000034	0.000034	0.000034	0.000034	0.000034
O	0.062897	0.000006	0.000006	0.000006	0.006409
P	0.000025	0.015751	0.000025	0.000025	0.410019
