A	0.000003	0.000003	0.000003	0.000003
B	0.000006	0.000006	0.000006	0.000006
C	0.000018	0.000018	0.000018	0.000018
D	0.000016	0.000016	0.000016	0.000016
E	0.000005	0.000005	0.000005	0.000005
F	0.000006	0.143947	0.004938	0.098604
G	0.000024	0.085313	0.000024	0.053503
H	0.000001	0.000001	0.000001	0.000001
I	0.000004	0.000004	0.000004	0.000004
J	0.013057	0.000009	0.000009	0.000009
K	0.000032	0.000032	0.000032	0.000032
L	0.000002	0.000002	0.000002	0.000002
M	0.965595	0.107013	0.060813	0.091338
N	0.000010	0.071048	0.029171	0.122266
O	0.000002	0.000002	0.000002	0.000002
P	0.000010	0.000010	0.000010	0.000010
Q	0.000023	0.000023	0.000023	0.000023
R	0.000035	0.000035	0.000035	0.000035
S	0.000005	0.000005	0.000005	0.000005
T	0.000025	0.340374	0.000025	0.097876
U	0.000033	0.111427	0.000033	0.323258
V	0.000002	0.000002	0.000002	0.000002
W	0.000006	0.000006	0.000006	0.000006
X	0.000016	0.000016	0.000016	0.000016
Y	0.000033	0.000033	0.000033	0.000033
Z	0.000004	0.000004	0.000004	0.000004
a	0.021011	0.043984	0.166456	0.123181
b	0.000017	0.096662	0.738307	0.089742
