A	0.000003	0.000003	0.000003	0.000003	0.000003
B	0.000007	0.000007	0.000007	0.000007	0.000007
C	0.000021	0.000021	0.016847	0.000023	0.431780
D	0.002726	0.002726	0.835243	0.000038	0.000018
E	0.000009	0.000009	0.000009	0.000009	0.000009
F	0.000010	0.000010	0.000010	0.000010	0.000010
G	0.000026	0.000026	0.000026	0.000026	0.000026
H	0.000001	0.000001	0.000001	0.000001	0.000001
I	0.000004	0.000004	0.000004	0.000004	0.000004
J	0.000009	0.000009	0.000350	0.113910	0.000015
K	0.977783	0.000189	0.004620	0.005275	0.000028
L	0.000004	0.000004	0.000004	0.000004	0.000004
M	0.000016	0.000016	0.000016	0.000016	0.000016
N	0.000010	0.000010	0.000010	0.000010	0.000010
O	0.000002	0.000002	0.000002	0.000002	0.000002
P	0.000009	0.000009	0.000009	0.000009	0.000009
Q	0.000018	0.000018	0.038295	0.000150	0.567864
R	0.016855	0.000438	0.103114	0.000246	0.000027
S	0.000007	0.000007	0.000007	0.000007	0.000007
T	0.000025	0.000025	0.000025	0.000025	0.000025
U	0.000494	0.000024	0.000024	0.000024	0.000024
V	0.000003	0.000003	0.000003	0.000003	0.000003
W	0.000007	0.000007	0.000007	0.000007	0.000007
X	0.000020	0.000020	0.001068	0.876163	0.000020
Y	0.001358	0.996360	0.000245	0.003979	0.000031
Z	0.000007	0.000007	0.000007	0.000007	0.000007
a	0.000023	0.000023	0.000023	0.000023	0.000023
b	0.000541	0.000019	0.000019	0.000019	0.000019
