A	0.015325	0.018476	0.000007	0.000007
B	0.000005	0.000005	0.000005	0.000005
C	0.000020	0.000003	0.000003	0.000003
D	0.000010	0.000098	0.000010	0.000010
E	0.902564	0.025453	0.571258	0.000015
F	0.000003	0.000003	0.000003	0.000003
G	0.000176	0.000002	0.000002	0.000002
H	0.000005	0.000005	0.000005	0.000005
I	0.011149	0.835886	0.284199	0.000014
J	0.000004	0.000004	0.144342	0.999893
K	0.016302	0.000003	0.000003	0.000003
L	0.026221	0.040494	0.000009	0.000009
M	0.021474	0.077949	0.000138	0.000015
N	0.000005	0.000005	0.000005	0.000005
O	0.000040	0.000003	0.000003	0.000003
P	0.006696	0.001612	0.000008	0.000008
