A	0.005374	0.005374	0.005374	0.005374
B	0.004202	0.004202	0.913293	0.004202
C	0.001484	0.001484	0.001484	0.001484
D	0.008423	0.008423	0.008423	0.008423
E	0.011518	0.011518	0.011518	0.011518
F	0.002235	0.002235	0.002235	0.002235
G	0.001035	0.001035	0.001035	0.001035
H	0.003797	0.003797	0.003797	0.003797
I	0.014582	0.014582	0.014582	0.014582
J	0.913430	0.004339	0.004339	0.004339
K	0.002055	0.002055	0.002055	0.002055
L	0.008766	0.008766	0.008766	0.008766
M	0.011882	0.011882	0.011882	0.011882
N	0.003676	0.912767	0.003676	0.912767
O	0.001447	0.001447	0.001447	0.001447
P	0.006092	0.006092	0.006092	0.006092
