A	0.000705	0.000705	0.000705	0.000705	0.000705
B	0.004069	0.004069	0.004069	0.004069	0.004069
C	0.003801	0.003801	0.003801	0.003801	0.003801
D	0.003552	0.003552	0.003552	0.912643	0.003552
E	0.001514	0.001514	0.001514	0.001514	0.001514
F	0.001976	0.001976	0.001976	0.001976	0.001976
G	0.005223	0.005223	0.005223	0.005223	0.005223
H	0.000237	0.000237	0.000237	0.000237	0.000237
I	0.001828	0.001828	0.001828	0.001828	0.001828
J	0.001392	0.001392	0.001392	0.001392	0.001392
K	0.005548	0.005548	0.005548	0.005548	0.005548
L	0.000501	0.000501	0.000501	0.000501	0.000501
M	0.003106	0.003106	0.003106	0.003106	0.003106
N	0.001640	0.001640	0.001640	0.001640	0.001640
O	0.000519	0.000519	0.000519	0.000519	0.000519
P	0.005506	0.005506	0.005506	0.005506	0.005506
Q	0.004528	0.004528	0.004528	0.004528	0.004528
R	0.916873	0.916873	0.916873	0.007782	0.007782
S	0.001457	0.001457	0.001457	0.001457	0.001457
T	0.008011	0.008011	0.008011	0.008011	0.008011
U	0.007153	0.007153	0.007153	0.007153	0.007153
V	0.000506	0.000506	0.000506	0.000506	0.000506
W	0.003253	0.003253	0.003253	0.003253	0.003253
X	0.002854	0.002854	0.002854	0.002854	0.002854
Y	0.005456	0.005456	0.005456	0.005456	0.914547
Z	0.001004	0.001004	0.001004	0.001004	0.001004
a	0.004545	0.004545	0.004545	0.004545	0.004545
b	0.003243	0.003243	0.003243	0.003243	0.003243
