A	0.176884	0.160566	0.000004	0.000004	0.000004	0.000004
B	0.000004	0.179684	0.000004	0.732005	0.000004	0.996316
C	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
D	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
E	0.338337	0.286075	0.000006	0.000006	0.000006	0.000006
F	0.006292	0.007973	0.999959	0.124630	0.000003	0.000003
G	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
H	0.002930	0.000002	0.000002	0.000002	0.000002	0.000002
I	0.260618	0.324155	0.000006	0.000006	0.000006	0.000006
J	0.001339	0.002794	0.000001	0.047256	0.000001	0.000001
K	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
L	0.001027	0.000001	0.000001	0.000001	0.000001	0.000001
M	0.188671	0.033839	0.000005	0.000005	0.000005	0.000005
N	0.022857	0.004903	0.000003	0.096077	0.999960	0.003648
O	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
P	0.001035	0.000002	0.000002	0.000002	0.000002	0.000002
