A	0.008734	0.001140	0.036205	0.000000
B	0.000000	0.000000	0.000000	0.000000
C	0.000005	0.000005	0.000005	0.000005
D	0.000001	0.000001	0.000001	0.000001
E	0.000000	0.000000	0.000000	0.090410
F	0.060876	0.380599	0.462757	0.006627
G	0.013437	0.000004	0.000004	0.004369
H	0.016761	0.001866	0.000499	0.002725
I	0.000000	0.000000	0.000000	0.000000
J	0.000008	0.000008	0.000008	0.000008
K	0.000002	0.000002	0.000002	0.000002
L	0.000406	0.000001	0.000001	0.000392
M	0.202036	0.111120	0.380640	0.306649
N	0.000006	0.000006	0.000006	0.001642
O	0.044292	0.001877	0.001184	0.000000
P	0.000000	0.000000	0.000000	0.000000
Q	0.000688	0.000002	0.000002	0.000002
R	0.000002	0.000002	0.000002	0.000002
S	0.000000	0.000000	0.000000	0.027851
T	0.230575	0.240240	0.000003	0.433090
U	0.032895	0.026256	0.000403	0.020060
V	0.026846	0.114065	0.003598	0.009323
W	0.000000	0.000000	0.000000	0.000000
X	0.025990	0.000005	0.000005	0.000005
Y	0.000001	0.000001	0.000001	0.000001
Z	0.000000	0.000000	0.000000	0.000000
a	0.182413	0.106027	0.114670	0.096830
b	0.154026	0.016771	0.000003	0.000003
