A	0.862355	0.865721	0.018229	0.049430	0.017091
B	0.001732	0.000050	0.000050	0.000050	0.000050
C	0.000007	0.000007	0.000007	0.000007	0.000007
D	0.000644	0.061685	0.719658	0.875976	0.455037
E	0.000513	0.009303	0.009130	0.008317	0.052737
F	0.000026	0.000026	0.000026	0.000026	0.000026
G	0.000004	0.000004	0.000004	0.000004	0.000004
H	0.006244	0.009221	0.020924	0.012045	0.009128
I	0.106608	0.007571	0.030325	0.005261	0.016386
J	0.006242	0.000018	0.000018	0.000018	0.000018
K	0.000002	0.000002	0.000002	0.000002	0.000002
L	0.000196	0.004036	0.049091	0.012024	0.151951
M	0.012784	0.025237	0.134268	0.017749	0.189618
N	0.001325	0.000033	0.000033	0.000033	0.000033
O	0.000004	0.000004	0.000004	0.000004	0.000004
P	0.001316	0.017084	0.018232	0.019056	0.107908
