A	0.000001	0.000001	0.000001	0.000001	0.000055
B	0.051898	0.000002	0.000002	0.000002	0.000002
C	0.000004	0.000004	0.000004	0.000004	0.000004
D	0.000003	0.000003	0.582850	0.002630	0.000003
E	0.205146	0.042835	0.000002	0.000002	0.000002
F	0.052125	0.000002	0.000002	0.000002	0.000002
G	0.020541	0.000005	0.000005	0.000005	0.000403
H	0.000113	0.000000	0.000000	0.000000	0.000000
I	0.000899	0.000001	0.000001	0.000001	0.000001
J	0.000002	0.000002	0.000002	0.000002	0.000002
K	0.000007	0.002260	0.006784	0.982486	0.000007
L	0.003409	0.012395	0.000001	0.000001	0.000001
M	0.000749	0.000004	0.000004	0.000004	0.000004
N	0.000772	0.000002	0.000002	0.000002	0.000002
O	0.003448	0.000000	0.000000	0.000000	0.037089
P	0.033925	0.000002	0.000002	0.000002	0.000002
Q	0.000004	0.000004	0.000004	0.000004	0.000829
R	0.004393	0.880249	0.410298	0.000252	0.960364
S	0.207395	0.040346	0.000001	0.000001	0.000001
T	0.053886	0.000006	0.000006	0.000006	0.000006
U	0.062398	0.000005	0.000005	0.001966	0.000005
V	0.000583	0.000001	0.000001	0.000001	0.000027
W	0.057906	0.000002	0.000002	0.000002	0.000002
X	0.000004	0.000004	0.000004	0.000004	0.000004
Y	0.014478	0.000007	0.000007	0.012610	0.000007
Z	0.121909	0.021847	0.000001	0.000001	0.000001
a	0.100467	0.000005	0.000005	0.000005	0.000005
b	0.003532	0.000004	0.000004	0.000004	0.001170
