A	0.000006	0.000006	0.000006	0.000006	0.116996
B	0.000005	0.000005	0.000005	0.000005	0.000005
C	0.000002	0.000002	0.000002	0.000002	0.021763
D	0.000009	0.023221	0.000009	0.000009	0.093480
E	0.000012	0.000012	0.312901	0.349622	0.000012
F	0.101149	0.000002	0.000002	0.000002	0.020772
G	0.000001	0.000001	0.000001	0.006545	0.000001
H	0.259672	0.000004	0.000004	0.083445	0.082807
I	0.000015	0.976705	0.000015	0.238396	0.332114
J	0.005412	0.000005	0.000005	0.000005	0.029258
K	0.000003	0.000003	0.000003	0.000003	0.040872
L	0.000009	0.000009	0.000009	0.129573	0.091831
M	0.332260	0.000013	0.613742	0.182067	0.080042
N	0.117334	0.000004	0.000004	0.000004	0.000004
O	0.000002	0.000002	0.000002	0.010310	0.020367
P	0.184109	0.000006	0.073290	0.000006	0.069675
