A	0.000008	0.112188	0.000330	0.000008
B	0.000005	0.000005	0.001718	0.000005
C	0.000002	0.000002	0.000002	0.000002
D	0.011922	0.000046	0.000010	0.000010
E	0.474708	0.033156	0.984973	0.000015
F	0.000003	0.000003	0.000785	0.999890
G	0.000783	0.000002	0.000002	0.000002
H	0.002542	0.000787	0.000005	0.000005
I	0.000016	0.838687	0.000046	0.000016
J	0.000004	0.000004	0.001195	0.000004
K	0.000002	0.000002	0.000002	0.000002
L	0.008117	0.003135	0.000009	0.000009
M	0.462326	0.011967	0.001044	0.000016
N	0.000005	0.000005	0.009870	0.000005
O	0.003911	0.000002	0.000002	0.000002
P	0.035646	0.000008	0.000008	0.000008
