A	0.000001	0.000001	0.000001	0.000001
B	0.120501	0.057376	0.585275	0.045860
C	0.000005	0.000005	0.000005	0.000005
D	0.000004	0.000004	0.002207	0.039259
E	0.000002	0.000002	0.000002	0.000002
F	0.105732	0.069249	0.027248	0.000002
G	0.000006	0.000006	0.000006	0.000006
H	0.000703	0.000000	0.000000	0.000000
I	0.029065	0.022445	0.124063	0.010577
J	0.000002	0.000002	0.000002	0.000002
K	0.000007	0.000007	0.000007	0.012243
L	0.000001	0.000001	0.000001	0.000001
M	0.024671	0.005046	0.005440	0.000005
N	0.000003	0.000003	0.000003	0.000003
O	0.000000	0.000000	0.000000	0.000000
P	0.114236	0.090206	0.071831	0.633983
Q	0.000005	0.000005	0.000005	0.000005
R	0.000008	0.000008	0.000008	0.209181
S	0.000002	0.000002	0.000002	0.000002
T	0.254545	0.113826	0.013876	0.000007
U	0.002980	0.000007	0.000007	0.000007
V	0.000001	0.000001	0.000001	0.000001
W	0.064806	0.455520	0.148734	0.035208
X	0.000005	0.000005	0.000005	0.000005
Y	0.000008	0.000008	0.009818	0.013623
Z	0.000002	0.000002	0.000002	0.000002
a	0.281641	0.186260	0.011447	0.000006
b	0.001059	0.000005	0.000005	0.000005
