A	0.000616	0.000616	0.000616	0.000616	0.000616	0.000616
B	0.000925	0.000925	0.000925	0.000925	0.000925	0.000925
C	0.004848	0.004848	0.004848	0.004848	0.004848	0.004848
D	0.003280	0.003280	0.003280	0.003280	0.003280	0.003280
E	0.001265	0.001265	0.001265	0.001265	0.001265	0.001265
F	0.002219	0.002219	0.002219	0.002219	0.002219	0.002219
G	0.005464	0.005464	0.005464	0.005464	0.005464	0.005464
H	0.000254	0.000254	0.000254	0.000254	0.000254	0.000254
I	0.000714	0.000714	0.000714	0.000714	0.000714	0.000714
J	0.002837	0.002837	0.002837	0.002837	0.002837	0.002837
K	0.006099	0.006099	0.006099	0.006099	0.006099	0.006099
L	0.000617	0.000617	0.000617	0.000617	0.000617	0.000617
M	0.004154	0.004154	0.004154	0.004154	0.004154	0.004154
N	0.002704	0.002704	0.002704	0.002704	0.002704	0.002704
O	0.000461	0.000461	0.000461	0.000461	0.000461	0.000461
P	0.001429	0.001429	0.001429	0.001429	0.001429	0.001429
Q	0.005689	0.005689	0.005689	0.005689	0.005689	0.005689
R	0.006573	0.006573	0.006573	0.006573	0.006573	0.915664
S	0.001144	0.001144	0.001144	0.001144	0.001144	0.001144
T	0.006377	0.006377	0.006377	0.006377	0.006377	0.006377
U	0.007013	0.007013	0.916104	0.007013	0.007013	0.007013
V	0.000552	0.000552	0.000552	0.000552	0.000552	0.000552
W	0.001159	0.001159	0.001159	0.001159	0.001159	0.001159
X	0.005416	0.005416	0.005416	0.005416	0.005416	0.005416
Y	0.007192	0.007192	0.007192	0.916283	0.916283	0.007192
Z	0.001185	0.001185	0.001185	0.001185	0.001185	0.001185
a	0.005709	0.005709	0.005709	0.005709	0.005709	0.005709
b	0.914107	0.914107	0.005016	0.005016	0.005016	0.005016
