A	0.017827	0.009369	0.000000	0.006185
B	0.000000	0.000000	0.000000	0.000000
C	0.000002	0.000002	0.000002	0.000002
D	0.000002	0.000002	0.000002	0.000002
E	0.000001	0.000001	0.000001	0.000001
F	0.118469	0.357554	0.000001	0.108289
G	0.069123	0.000003	0.000003	0.000003
H	0.016997	0.029648	0.000000	0.030540
I	0.000000	0.000000	0.000000	0.000000
J	0.000001	0.000001	0.000001	0.000001
K	0.000003	0.000003	0.000003	0.000003
L	0.000001	0.000001	0.000001	0.013586
M	0.105118	0.039547	0.000001	0.001432
N	0.060852	0.010580	0.000001	0.033296
O	0.006789	0.008210	0.000000	0.008310
P	0.000001	0.000001	0.000001	0.011683
Q	0.000002	0.000002	0.000002	0.000002
R	0.000003	0.000003	0.000003	0.000003
S	0.051881	0.000001	0.000001	0.000001
T	0.306340	0.396002	0.000002	0.748526
U	0.060197	0.030994	0.000002	0.000002
V	0.011005	0.001140	0.000000	0.003850
W	0.000001	0.000001	0.000001	0.021331
X	0.000002	0.000002	0.000002	0.000002
Y	0.000003	0.000003	0.000003	0.000003
Z	0.044613	0.094774	0.000001	0.000001
a	0.075158	0.022156	0.999963	0.001768
b	0.055610	0.000002	0.000002	0.011175
