A	0.000007	0.000007	0.002101	0.016221
B	0.000008	0.000008	0.312220	0.230850
C	0.000002	0.000002	0.000002	0.000002
D	0.000007	0.000007	0.000007	0.000007
E	0.000011	0.000011	0.093665	0.027896
F	0.999923	0.999923	0.049472	0.193849
G	0.000001	0.000001	0.000001	0.000001
H	0.000004	0.000004	0.000004	0.000004
I	0.000011	0.000011	0.020581	0.302807
J	0.000003	0.000003	0.139631	0.049873
K	0.000001	0.000001	0.000001	0.000001
L	0.000002	0.000002	0.000002	0.000002
M	0.000010	0.000010	0.003120	0.030071
N	0.000006	0.000006	0.379189	0.148410
O	0.000001	0.000001	0.000001	0.000001
P	0.000005	0.000005	0.000005	0.000005
