A	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
B	0.008555	0.006545	0.674618	0.817063	0.023617	0.110005
C	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
D	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
E	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
F	0.973783	0.455335	0.227825	0.040444	0.935888	0.856733
G	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
H	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006
I	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
J	0.000002	0.000002	0.000002	0.130698	0.005032	0.004777
K	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
L	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
M	0.000002	0.000002	0.000002	0.000002	0.000002	0.001452
N	0.017631	0.538089	0.097526	0.011765	0.035434	0.027007
O	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
P	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
