A	0.000281	0.245056	0.001576	0.039219	0.000002
B	0.000097	0.000002	0.000002	0.000002	0.000096
C	0.000510	0.000000	0.000077	0.000000	0.000106
D	0.000958	0.008499	0.000280	0.004941	0.000148
E	0.000669	0.000342	0.000038	0.066304	0.989630
F	0.000256	0.000001	0.000001	0.000001	0.000001
G	0.000000	0.000000	0.000000	0.000000	0.000024
H	0.000271	0.001068	0.000653	0.011176	0.000003
I	0.334579	0.051797	0.026055	0.481529	0.000005
J	0.000623	0.000002	0.000002	0.000002	0.000240
K	0.001021	0.000001	0.000106	0.000001	0.000039
L	0.003499	0.004153	0.968237	0.013039	0.000007
M	0.653257	0.666701	0.002598	0.324626	0.009108
N	0.001236	0.000002	0.000002	0.000002	0.000157
O	0.000050	0.000000	0.000000	0.000000	0.000428
P	0.002695	0.022375	0.000372	0.059156	0.000003
