A	0.000053	0.000053	0.000053	0.000053	0.000053
B	0.000373	0.357182	0.979197	0.081106	0.000848
C	0.000012	0.000012	0.000012	0.000012	0.000012
D	0.000052	0.000052	0.000052	0.000052	0.000052
E	0.000087	0.000087	0.000087	0.000087	0.993578
F	0.000780	0.121834	0.000088	0.145030	0.002982
G	0.000008	0.000008	0.000008	0.000008	0.000008
H	0.000032	0.000032	0.000032	0.000032	0.000032
I	0.988141	0.000089	0.000089	0.000089	0.000089
J	0.005848	0.038960	0.019355	0.057366	0.000080
K	0.000005	0.000005	0.000005	0.000005	0.000005
L	0.000015	0.000015	0.000015	0.000015	0.000015
M	0.000077	0.000077	0.000077	0.000077	0.000490
N	0.004474	0.481551	0.000887	0.716024	0.001714
O	0.000009	0.000009	0.000009	0.000009	0.000009
P	0.000034	0.000034	0.000034	0.000034	0.000034
