A	0.000014	0.000014	0.000014	0.000014	0.000014
B	0.000019	0.000019	0.000019	0.000019	0.000019
C	0.000086	0.145253	0.963465	0.048454	0.007742
D	0.000039	0.000039	0.000039	0.000039	0.000039
E	0.000002	0.000002	0.000002	0.000002	0.000002
F	0.000039	0.000039	0.000039	0.000039	0.000039
G	0.000061	0.000061	0.000061	0.000061	0.000061
H	0.000009	0.000009	0.000009	0.000009	0.000009
I	0.000012	0.000012	0.000012	0.000012	0.000012
J	0.000059	0.087509	0.000241	0.142291	0.054964
K	0.000055	0.000055	0.000055	0.000055	0.000055
L	0.000001	0.000001	0.000001	0.000001	0.000001
M	0.000074	0.000074	0.000074	0.000074	0.871500
N	0.000038	0.000038	0.000038	0.000038	0.000038
O	0.000004	0.000004	0.000004	0.000004	0.000004
P	0.000007	0.000007	0.000007	0.000007	0.000007
Q	0.000033	0.018560	0.030759	0.051085	0.005723
R	0.999091	0.000040	0.000040	0.000040	0.000040
S	0.000000	0.000000	0.000000	0.000000	0.000000
T	0.000092	0.000092	0.000092	0.000092	0.000092
U	0.000018	0.000018	0.000018	0.000018	0.000018
V	0.000009	0.000009	0.000009	0.000009	0.000009
W	0.000013	0.000013	0.000013	0.000013	0.000013
X	0.000068	0.747976	0.004832	0.757468	0.052870
Y	0.000040	0.000040	0.000040	0.000040	0.000040
Z	0.000001	0.000001	0.000001	0.000001	0.000001
a	0.000074	0.000074	0.000074	0.000074	0.006648
b	0.000041	0.000041	0.000041	0.000041	0.000041
