A	0.000002	0.000002	0.000002	0.000002
B	0.000000	0.000000	0.000000	0.000000
C	0.000030	0.948322	0.266472	0.577656
D	0.000005	0.000005	0.000005	0.000005
E	0.000006	0.000006	0.000006	0.000006
F	0.000005	0.000005	0.000005	0.000005
G	0.000022	0.000022	0.000022	0.000022
H	0.000003	0.000003	0.000003	0.000003
I	0.000000	0.000000	0.000000	0.000000
J	0.953857	0.000038	0.568920	0.384701
K	0.000012	0.000012	0.000012	0.000012
L	0.000007	0.000007	0.000007	0.000007
M	0.000013	0.000013	0.000013	0.000013
N	0.000027	0.000027	0.000027	0.000027
O	0.000001	0.000001	0.000001	0.000001
P	0.000000	0.000000	0.000000	0.000000
Q	0.000013	0.051443	0.013504	0.000013
R	0.000013	0.000013	0.000013	0.000013
S	0.000002	0.000002	0.000002	0.000002
T	0.000015	0.000015	0.000015	0.000015
U	0.000010	0.000010	0.000010	0.000010
V	0.000001	0.000001	0.000001	0.000001
W	0.000000	0.000000	0.000000	0.000000
X	0.045922	0.000019	0.150927	0.037453
Y	0.000007	0.000007	0.000007	0.000007
Z	0.000003	0.000003	0.000003	0.000003
a	0.000010	0.000010	0.000010	0.000010
b	0.000013	0.000013	0.000013	0.000013
