A	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006
B	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
C	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
D	0.000009	0.000075	0.999930	0.000009	0.000009	0.999930
E	0.999907	0.443148	0.000011	0.000011	0.000011	0.000011
F	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
G	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
H	0.000004	0.000004	0.000004	0.000004	0.999925	0.000004
I	0.000035	0.549491	0.000010	0.000010	0.000010	0.000010
J	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
K	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
L	0.000006	0.000007	0.000006	0.000006	0.000006	0.000006
M	0.000010	0.007246	0.000009	0.000009	0.000009	0.000009
N	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
O	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
P	0.000005	0.000005	0.000005	0.999926	0.000005	0.000005
