A	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
B	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
C	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006
D	0.000351	0.000004	0.000004	0.000244	0.001090	0.000255
E	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
F	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
G	0.000316	0.000007	0.000007	0.000007	0.000007	0.000007
H	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
I	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
J	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
K	0.001739	0.000008	0.000008	0.000008	0.000844	0.140629
L	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
M	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006
N	0.010929	0.000004	0.000004	0.000004	0.002100	0.000839
O	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
P	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
Q	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008
R	0.724424	0.000009	0.000009	0.002600	0.001230	0.000009
S	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
T	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008
U	0.261591	0.000009	0.000009	0.996607	0.018154	0.000009
V	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
W	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
X	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
Y	0.000010	0.000010	0.000010	0.000010	0.908395	0.812307
Z	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
a	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008
b	0.000578	0.999886	0.999886	0.000458	0.068117	0.045882
