A	0.000002	0.000002	0.000002	0.000002	0.000002
B	0.853043	0.000024	0.000420	0.108524	0.088434
C	0.000009	0.000009	0.000009	0.000009	0.000009
D	0.000010	0.000010	0.000010	0.000010	0.009466
E	0.000005	0.000005	0.000005	0.000005	0.000005
F	0.003438	0.000005	0.000005	0.000005	0.000005
G	0.000013	0.000013	0.000013	0.000013	0.000013
H	0.000001	0.000001	0.000001	0.000001	0.000001
I	0.032480	0.000674	0.000033	0.007255	0.000325
J	0.000005	0.000005	0.000005	0.000005	0.000005
K	0.000017	0.000017	0.000017	0.000017	0.014483
L	0.000003	0.000003	0.000003	0.000003	0.000003
M	0.002960	0.000012	0.000012	0.000012	0.000012
N	0.000006	0.000006	0.000006	0.000006	0.000006
O	0.000002	0.000002	0.000002	0.000002	0.000002
P	0.090147	0.999077	0.218214	0.079069	0.740231
Q	0.000011	0.000011	0.000011	0.000011	0.000011
R	0.000019	0.000019	0.000019	0.000019	0.039077
S	0.000005	0.000005	0.000005	0.000005	0.000005
T	0.002125	0.000017	0.000017	0.000017	0.000017
U	0.000016	0.000016	0.000016	0.000016	0.000016
V	0.000002	0.000002	0.000002	0.000002	0.000002
W	0.009585	0.000010	0.781118	0.804936	0.105280
X	0.000010	0.000010	0.000010	0.000010	0.000010
Y	0.000017	0.000017	0.000017	0.000017	0.002552
Z	0.000004	0.000004	0.000004	0.000004	0.000004
a	0.006057	0.000016	0.000016	0.000016	0.000016
b	0.000010	0.000010	0.000010	0.000010	0.000010
