A	0.000000	0.000000	0.000000	0.000000
B	0.000001	0.000001	0.000001	0.000001
C	0.000003	0.000003	0.000003	0.000003
D	0.000002	0.000002	0.000002	0.000002
E	0.000001	0.000001	0.000001	0.000001
F	0.000001	0.322522	0.000001	0.418869
G	0.000003	0.000003	0.000003	0.000003
H	0.000000	0.000000	0.000000	0.000000
I	0.000001	0.000001	0.000001	0.000001
J	0.000001	0.000001	0.000001	0.000001
K	0.000004	0.000004	0.000004	0.000004
L	0.000000	0.000000	0.000000	0.000000
M	0.000002	0.020885	0.169798	0.000002
N	0.000002	0.000002	0.000002	0.000002
O	0.000000	0.000000	0.000000	0.239313
P	0.000001	0.000001	0.000001	0.000001
Q	0.000003	0.000003	0.000003	0.000003
R	0.000004	0.000004	0.000004	0.000004
S	0.000001	0.000001	0.000001	0.137943
T	0.000004	0.656546	0.830153	0.203827
U	0.000003	0.000003	0.000003	0.000003
V	0.000000	0.000000	0.000000	0.000000
W	0.000001	0.000001	0.000001	0.000001
X	0.000003	0.000003	0.000003	0.000003
Y	0.000005	0.000005	0.000005	0.000005
Z	0.000001	0.000001	0.000001	0.000001
a	0.999949	0.000003	0.000003	0.000003
b	0.000003	0.000003	0.000003	0.000003
