A	0.008955	0.424356	0.000012	0.027442
B	0.000018	0.000018	0.000018	0.000018
C	0.001478	0.002808	0.000003	0.000003
D	0.288932	0.148560	0.000014	0.000014
E	0.300442	0.000017	0.912201	0.972433
F	0.000010	0.000010	0.000010	0.000010
G	0.013429	0.000002	0.000002	0.000002
H	0.121469	0.037195	0.000007	0.000007
I	0.000021	0.058703	0.022014	0.000021
J	0.000007	0.000007	0.000007	0.000007
K	0.000001	0.000001	0.000001	0.000001
L	0.000004	0.101466	0.065672	0.000004
M	0.193415	0.157746	0.000017	0.000017
N	0.000012	0.000012	0.000012	0.000012
O	0.000002	0.000002	0.000002	0.000002
P	0.071806	0.069098	0.000008	0.000008
