A	0.000044	0.000044	0.000044	0.000044	0.048692
B	0.537858	0.232952	0.636525	0.000053	0.389843
C	0.000009	0.000009	0.000009	0.000009	0.000009
D	0.000047	0.000047	0.000047	0.000047	0.000047
E	0.000063	0.000063	0.000063	0.000063	0.000063
F	0.256706	0.228114	0.000030	0.000030	0.168485
G	0.000005	0.000005	0.000005	0.000005	0.000005
H	0.000023	0.000023	0.000023	0.000023	0.000023
I	0.000073	0.000073	0.000073	0.000073	0.280368
J	0.205027	0.000020	0.363037	0.999508	0.065574
K	0.000003	0.000003	0.000003	0.000003	0.000003
L	0.000013	0.000013	0.000013	0.000013	0.000013
M	0.000061	0.000061	0.000061	0.000061	0.046808
N	0.000036	0.538542	0.000036	0.000036	0.000036
O	0.000006	0.000006	0.000006	0.000006	0.000006
P	0.000026	0.000026	0.000026	0.000026	0.000026
