A	0.020933	0.000001	0.000001	0.020170
B	0.000001	0.000001	0.000001	0.000001
C	0.000007	0.000007	0.000007	0.000007
D	0.080939	0.102779	0.426789	0.092949
E	0.000272	0.002084	0.000000	0.000433
F	0.000003	0.000003	0.000003	0.000003
G	0.032427	0.062962	0.000005	0.079044
H	0.009588	0.041511	0.000001	0.033370
I	0.000001	0.000001	0.000001	0.000001
J	0.000004	0.000004	0.000004	0.018960
K	0.477463	0.100064	0.000002	0.000002
L	0.015139	0.001820	0.000000	0.000000
M	0.000004	0.000004	0.000004	0.000004
N	0.004847	0.031951	0.154687	0.192753
O	0.010017	0.000000	0.016663	0.009087
P	0.000000	0.000000	0.000000	0.000000
Q	0.000003	0.000003	0.000003	0.000003
R	0.112864	0.527019	0.235818	0.346058
S	0.005043	0.002117	0.000000	0.000433
T	0.000007	0.000007	0.000007	0.000007
U	0.019138	0.000001	0.000001	0.000001
V	0.019060	0.016358	0.000001	0.037046
W	0.000001	0.000001	0.000001	0.000001
X	0.000005	0.000005	0.000005	0.000005
Y	0.164515	0.000002	0.000002	0.000002
Z	0.006317	0.005485	0.000000	0.000433
a	0.000005	0.000005	0.000005	0.000005
b	0.021396	0.105805	0.165989	0.169224
