A	0.002495	0.001817	0.002337	0.001485
B	0.000000	0.000000	0.000000	0.000875
C	0.000005	0.000005	0.000005	0.000005
D	0.000001	0.000001	0.000001	0.000001
E	0.000001	0.000001	0.011841	0.044696
F	0.954006	0.527438	0.209352	0.118007
G	0.000004	0.000004	0.000158	0.004484
H	0.000000	0.000000	0.002456	0.004183
I	0.000000	0.000000	0.000000	0.001086
J	0.000006	0.000006	0.000006	0.000006
K	0.000002	0.000002	0.000002	0.001813
L	0.000001	0.000001	0.016029	0.131704
M	0.000003	0.000003	0.183499	0.294844
N	0.000005	0.000005	0.000618	0.017827
O	0.000000	0.000000	0.001184	0.001822
P	0.000000	0.000000	0.000000	0.000000
Q	0.000002	0.000002	0.000002	0.000002
R	0.000002	0.000002	0.000002	0.004953
S	0.000000	0.000000	0.002200	0.042952
T	0.025986	0.403880	0.359681	0.064843
U	0.000001	0.000001	0.000474	0.004266
V	0.000000	0.005185	0.003576	0.002300
W	0.000000	0.000000	0.000000	0.000724
X	0.000004	0.000004	0.000004	0.000004
Y	0.000002	0.000002	0.000002	0.000002
Z	0.000001	0.000001	0.009956	0.062544
a	0.017469	0.061634	0.188882	0.184739
b	0.000003	0.000003	0.007732	0.009832
