A	0.000019	0.000019	0.000019	0.679028	0.000019	0.000019
B	0.065680	0.004543	0.000015	0.000015	0.000015	0.000015
C	0.043638	0.000009	0.000009	0.000009	0.000009	0.000009
D	0.054454	0.000032	0.000032	0.000032	0.000032	0.000032
E	0.335087	0.000035	0.000035	0.000035	0.000035	0.000035
F	0.013712	0.000007	0.000007	0.000007	0.000007	0.000007
G	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
H	0.000011	0.000011	0.000011	0.000011	0.015793	0.002987
I	0.000045	0.995212	0.000045	0.320731	0.000045	0.996764
J	0.421085	0.000015	0.000015	0.000015	0.000015	0.000015
K	0.000011	0.000011	0.000011	0.000011	0.000011	0.000011
L	0.047900	0.000030	0.000030	0.000030	0.076787	0.000030
M	0.000034	0.000034	0.999729	0.000034	0.907191	0.000034
N	0.012820	0.000011	0.000011	0.000011	0.000011	0.000011
O	0.005481	0.000007	0.000007	0.000007	0.000007	0.000007
P	0.000018	0.000018	0.000018	0.000018	0.000018	0.000018
