A	0.016954	0.029442	0.005519	0.010686
B	0.009246	0.012476	0.000000	0.000000
C	0.000003	0.000003	0.000003	0.026562
D	0.010359	0.322604	0.016714	0.053166
E	0.059849	0.046505	0.006886	0.001464
F	0.013480	0.003079	0.000001	0.000001
G	0.036939	0.029204	0.013910	0.011946
H	0.051149	0.017329	0.012194	0.024327
I	0.015975	0.005294	0.000000	0.000000
J	0.000002	0.000002	0.000497	0.025031
K	0.215129	0.039583	0.091524	0.135857
L	0.037213	0.030226	0.000000	0.000980
M	0.042841	0.015135	0.000002	0.000002
N	0.028963	0.019440	0.016820	0.049080
O	0.037255	0.036796	0.051811	0.041622
P	0.017673	0.006940	0.000000	0.000000
Q	0.000001	0.000001	0.000458	0.030103
R	0.096869	0.100325	0.470024	0.318208
S	0.052706	0.040523	0.000000	0.000000
T	0.040783	0.008218	0.000003	0.000003
U	0.076424	0.079116	0.118831	0.127738
V	0.024612	0.025625	0.029202	0.033254
W	0.012369	0.003652	0.000000	0.000000
X	0.000002	0.000002	0.000314	0.018609
Y	0.032699	0.068478	0.136831	0.066714
Z	0.026360	0.034190	0.000000	0.002191
a	0.017439	0.000586	0.000002	0.000002
b	0.026709	0.025225	0.028454	0.022454
