A	0.000000	0.000000	0.000000	0.000071
B	0.000001	0.000001	0.000001	0.000001
C	0.059005	0.000001	0.026392	0.038834
D	0.004888	0.000001	0.000001	0.000001
E	0.000001	0.000001	0.000001	0.000001
F	0.000001	0.000001	0.004330	0.018385
G	0.000002	0.000002	0.000002	0.000276
H	0.000000	0.000000	0.000000	0.000000
I	0.000001	0.000001	0.000001	0.000001
J	0.080938	0.000000	0.004756	0.005973
K	0.011826	0.000002	0.000002	0.000002
L	0.000000	0.000000	0.000000	0.000000
M	0.000001	0.000001	0.002266	0.013562
N	0.000001	0.000001	0.000001	0.000216
O	0.000000	0.000000	0.000000	0.000216
P	0.000001	0.000001	0.000001	0.000217
Q	0.719142	0.849634	0.203487	0.102141
R	0.007031	0.000002	0.000002	0.000002
S	0.000001	0.000001	0.000001	0.000001
T	0.000002	0.000002	0.029381	0.018178
U	0.000002	0.000002	0.000002	0.003524
V	0.000000	0.000000	0.000000	0.000000
W	0.000001	0.000001	0.000001	0.000001
X	0.111579	0.150337	0.721479	0.766952
Y	0.005571	0.000002	0.000002	0.000002
Z	0.000001	0.000001	0.000001	0.000001
a	0.000002	0.000002	0.007887	0.030035
b	0.000002	0.000002	0.000002	0.001405
