A	0.000012	0.000012	0.039819	0.081578
B	0.000009	0.000009	0.000009	0.000009
C	0.000004	0.000004	0.000004	0.006302
D	0.000018	0.000018	0.000018	0.000018
E	0.769268	0.000022	0.000022	0.494274
F	0.000005	0.000005	0.000005	0.000005
G	0.000003	0.000003	0.000003	0.000003
H	0.012105	0.000007	0.000007	0.000007
I	0.000030	0.999841	0.000030	0.073489
J	0.000009	0.000009	0.000009	0.000009
K	0.000006	0.000006	0.000006	0.000006
L	0.000017	0.000017	0.000017	0.202007
M	0.218491	0.000025	0.960028	0.113767
N	0.000008	0.000008	0.000008	0.000008
O	0.000004	0.000004	0.000004	0.000004
P	0.000012	0.000012	0.000012	0.028515
