A	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
B	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
C	0.000012	0.000012	0.000012	0.000012	0.000012	0.000012
D	0.000010	0.000010	0.000010	0.493279	0.497083	0.000010
E	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
F	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006
G	0.000016	0.000016	0.000016	0.000016	0.000016	0.000016
H	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
I	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
J	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006
K	0.000020	0.000020	0.000020	0.504601	0.000020	0.000022
L	0.000002	0.999731	0.000782	0.000002	0.000002	0.000002
M	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013
N	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
O	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
P	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008
Q	0.000014	0.000014	0.000014	0.000014	0.000014	0.000014
R	0.000024	0.000024	0.998973	0.000024	0.500801	0.000024
S	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
T	0.000022	0.000022	0.000022	0.000022	0.000022	0.000022
U	0.000020	0.000020	0.000020	0.000020	0.000020	0.000020
V	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
W	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
X	0.000011	0.000011	0.000011	0.000011	0.000011	0.000011
Y	0.000018	0.000018	0.000018	0.001897	0.001897	0.999744
Z	0.999733	0.000004	0.000004	0.000004	0.000004	0.000004
a	0.000018	0.000018	0.000018	0.000018	0.000018	0.000018
b	0.000011	0.000011	0.000011	0.000011	0.000011	0.000011
