A	0.000024	0.000024	0.000024	0.000024	0.000024
B	0.070144	0.024093	0.057124	0.003375	0.853145
C	0.000155	0.000155	0.000155	0.000155	0.000155
D	0.000126	0.000126	0.000126	0.000126	0.000126
E	0.000075	0.000075	0.000075	0.000075	0.000075
F	0.020428	0.000072	0.000072	0.000072	0.000072
G	0.000205	0.000205	0.000205	0.000205	0.000205
H	0.000008	0.000008	0.000008	0.000008	0.000008
I	0.000041	0.027198	0.000041	0.040340	0.070925
J	0.000071	0.000071	0.000071	0.000071	0.000071
K	0.000204	0.000204	0.000204	0.000204	0.040928
L	0.000035	0.000035	0.000035	0.000035	0.000035
M	0.008600	0.000154	0.000154	0.000154	0.000154
N	0.000083	0.000083	0.000083	0.000083	0.000083
O	0.000013	0.000013	0.000013	0.000013	0.000013
P	0.862053	0.028894	0.919715	0.060931	0.024201
Q	0.000140	0.000140	0.000140	0.000140	0.000140
R	0.000245	0.000245	0.000245	0.000245	0.000245
S	0.000054	0.000054	0.000054	0.000054	0.000054
T	0.000201	0.000201	0.000201	0.000201	0.000201
U	0.000187	0.000187	0.000187	0.000187	0.000187
V	0.000015	0.000015	0.000015	0.000015	0.000015
W	0.036253	0.917107	0.020412	0.892647	0.008298
X	0.000120	0.000120	0.000120	0.000120	0.000120
Y	0.000181	0.000181	0.000181	0.000181	0.000181
Z	0.000048	0.000048	0.000048	0.000048	0.000048
a	0.000171	0.000171	0.000171	0.000171	0.000171
b	0.000120	0.000120	0.000120	0.000120	0.000120
