A	0.001480	0.000003	0.000003	0.000133
B	0.000004	0.000004	0.000004	0.002346
C	0.009329	0.000022	0.000022	0.000022
D	0.005016	0.000007	0.000007	0.007242
E	0.000000	0.000000	0.000000	0.000000
F	0.113741	0.046155	0.009385	0.027204
G	0.086260	0.042225	0.045884	0.102305
H	0.004537	0.000002	0.000002	0.000002
I	0.000003	0.000003	0.000003	0.001392
J	0.004935	0.000013	0.000013	0.000013
K	0.004482	0.002787	0.000009	0.008571
L	0.000000	0.000000	0.000000	0.000000
M	0.055120	0.039286	0.033678	0.045286
N	0.097620	0.044033	0.030462	0.124046
O	0.000344	0.000001	0.000001	0.000001
P	0.000002	0.000002	0.000002	0.001853
Q	0.006741	0.000009	0.000009	0.000009
R	0.029532	0.005563	0.000007	0.026075
S	0.000000	0.000000	0.000000	0.000000
T	0.361758	0.031140	0.019509	0.468770
U	0.077602	0.650512	0.747036	0.055060
V	0.001391	0.000002	0.000002	0.000002
W	0.000003	0.000003	0.000003	0.001392
X	0.011834	0.000015	0.000015	0.000015
Y	0.006237	0.000007	0.000007	0.006125
Z	0.000000	0.000000	0.000000	0.000000
a	0.034598	0.093980	0.094227	0.054904
b	0.087430	0.044225	0.019707	0.067231
