A	0.003463	0.163732	0.000017	0.048994
B	0.097989	0.000025	0.000025	0.000025
C	0.000004	0.000004	0.000004	0.032127
D	0.004466	0.000019	0.000019	0.169341
E	0.000024	0.000024	0.954269	0.041796
F	0.152757	0.017132	0.000014	0.000014
G	0.000003	0.000003	0.000003	0.009489
H	0.110294	0.000010	0.000010	0.272910
I	0.000029	0.763454	0.039324	0.162343
J	0.108387	0.050187	0.000010	0.000010
K	0.000002	0.000002	0.000002	0.012336
L	0.008823	0.000006	0.000006	0.136822
M	0.070793	0.000023	0.006267	0.000023
N	0.285862	0.005365	0.000017	0.000017
O	0.000003	0.000003	0.000003	0.017827
P	0.157102	0.000011	0.000011	0.095925
