A	0.001935	0.185121	0.000054	0.000054
B	0.000053	0.000053	0.000053	0.000053
C	0.000122	0.000122	0.000122	0.000122
D	0.000023	0.000023	0.000023	0.000023
E	0.213711	0.237062	0.000082	0.000082
F	0.000043	0.000043	0.000043	0.000043
G	0.000088	0.000088	0.000088	0.000088
H	0.000017	0.000017	0.000017	0.000017
I	0.350499	0.130514	0.000101	0.000101
J	0.000030	0.000030	0.000030	0.000030
K	0.000061	0.000061	0.999152	0.999152
L	0.000012	0.000012	0.000012	0.000012
M	0.433256	0.446705	0.000073	0.000073
N	0.000044	0.000044	0.000044	0.000044
O	0.000089	0.000089	0.000089	0.000089
P	0.000017	0.000017	0.000017	0.000017
