A	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
B	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
C	0.077475	0.102839	0.380792	0.081752	0.035607	0.175662
D	0.043254	0.010717	0.000001	0.000001	0.000001	0.000001
E	0.000223	0.000000	0.000000	0.000000	0.000000	0.000000
F	0.000001	0.000001	0.000001	0.000001	0.000001	0.011018
G	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
H	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
I	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
J	0.156275	0.530402	0.256464	0.097140	0.841507	0.500600
K	0.068635	0.033109	0.000001	0.000001	0.000001	0.000001
L	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
M	0.000002	0.000002	0.000002	0.000002	0.000002	0.013402
N	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
O	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
P	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Q	0.437092	0.189530	0.115799	0.768366	0.072485	0.177951
R	0.108183	0.029238	0.000001	0.000001	0.000001	0.000001
S	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
T	0.000003	0.000003	0.000003	0.000003	0.000003	0.003610
U	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
V	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
W	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
X	0.067473	0.097752	0.246923	0.052719	0.050379	0.113287
Y	0.041373	0.006397	0.000001	0.000001	0.000001	0.000001
Z	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
a	0.000002	0.000002	0.000002	0.000002	0.000002	0.004457
b	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
